sigma,C,dataset_mode,number_of_communication_rounds,sample_rate,total_dp_steps,epsilon,best_alpha,final_test_accuracy,best_test_accuracy,runtime_seconds,run_status
0.5,0.1,full,3,0.0012658227848101266,2370,5.42343580467527,3.1,20.94,20.94,1527.4601516723633,Success
0.5,1.0,subset,2,0.06666666666666667,30,16.39529061101365,1.9,11.5,11.5,39.13754105567932,Success
1.0,0.1,subset,2,0.06666666666666667,30,3.448272163605945,4.8,11.5,11.5,81.48149037361145,Success
1.0,1.0,subset,2,0.06666666666666667,30,3.448272163605945,4.8,15.0,15.0,87.10765981674194,Success
1.5,0.1,subset,2,0.06666666666666667,30,1.5366860631561108,9.6,8.0,8.0,86.60075521469116,Success
1.5,1.0,subset,2,0.06666666666666667,30,1.5366860631561108,9.6,8.5,8.5,47.720245599746704,Success
2.0,0.1,subset,2,0.06666666666666667,30,0.9555310470239833,15.0,11.0,11.0,49.75890135765076,Success
2.0,1.0,subset,2,0.06666666666666667,30,0.9555310470239833,15.0,12.5,14.0,49.461353063583374,Success
